file,model,effect,variant,cond,n,arm_mean,arm_sd
_sonnet45_main.json,sonnet45,Aryani2020_word_arousal,A,,60,49.27222222222222,0.8052010714300493
_sonnet45_main.json,sonnet45,Aryani2020_word_arousal,B,,60,50.194722222222225,1.2759727286744758
_sonnet45_main.json,sonnet45,Asch1946_warm_cold,A,cold,30,39.65205942205943,2.85845634357811
_sonnet45_main.json,sonnet45,Asch1946_warm_cold,A,warm,30,60.4425925925926,0.2920353343147713
_sonnet45_main.json,sonnet45,Asch1946_warm_cold,B,cold,30,39.49391534391533,3.1113167269094077
_sonnet45_main.json,sonnet45,Asch1946_warm_cold,B,warm,30,53.164814814814804,2.3629723963587392
_sonnet45_main.json,sonnet45,BlackBarnes2015_transportation,A,fiction,30,56.07142857142858,1.1853700016519426
_sonnet45_main.json,sonnet45,BlackBarnes2015_transportation,A,nonfiction,30,28.985714285714284,2.3358635455439947
_sonnet45_main.json,sonnet45,BlackBarnes2015_transportation,B,fiction,30,52.44761904761904,1.3475769806659883
_sonnet45_main.json,sonnet45,BlackBarnes2015_transportation,B,nonfiction,30,48.7857142857143,1.1198578627009161
_sonnet45_main.json,sonnet45,Cao2018_bayesian_pilot,A,,60,50.25,1.920286436967152
_sonnet45_main.json,sonnet45,Cao2018_bayesian_pilot,B,,59,51.49152542372882,5.530724295461173
_sonnet45_main.json,sonnet45,FathKay2018_hierarchy_corruption,A,hierarchical,30,53.17142857142856,3.0226807041855714
_sonnet45_main.json,sonnet45,FathKay2018_hierarchy_corruption,B,flat,30,33.62380952380953,2.2197270572340155
_sonnet45_main.json,sonnet45,FathKay2018_hierarchy_corruption,B,hierarchical,30,42.36190476190476,2.1717835967079466
_sonnet45_main.json,sonnet45,Hoorens2015_more_less_asymmetry,A,less,30,48.24999999999999,3.334097134713339
_sonnet45_main.json,sonnet45,Hoorens2015_more_less_asymmetry,A,more,30,60.75555555555555,0.44039824850236353
_sonnet45_main.json,sonnet45,Hoorens2015_more_less_asymmetry,B,less,30,35.266666666666666,1.3961587514531653
_sonnet45_main.json,sonnet45,Hoorens2015_more_less_asymmetry,B,more,30,59.266666666666666,0.7918567023376365
_sonnet45_main.json,sonnet45,John2016_hiding_information,A,hide,30,39.66,3.0590412441373416
_sonnet45_main.json,sonnet45,John2016_hiding_information,A,reveal,29,49.66206896551723,4.203152658553554
_sonnet45_main.json,sonnet45,John2016_hiding_information,B,hide,30,37.684999999999995,2.011514769189296
_sonnet45_main.json,sonnet45,John2016_hiding_information,B,reveal,30,71.24000000000001,1.3047605144240064
_sonnet45_main.json,sonnet45,Klink2000_soundsymbolism,A,,60,45.00942918192917,3.5352352592435876
_sonnet45_main.json,sonnet45,Klink2000_soundsymbolism,B,,60,50.05444736227823,3.9704908237847287
_sonnet45_main.json,sonnet45,Knobe2003_side_effect,A,harm,26,74.34615384615384,2.730769230769231
_sonnet45_main.json,sonnet45,Knobe2003_side_effect,A,help,30,15.0,0.0
_sonnet45_main.json,sonnet45,Knobe2003_side_effect,B,harm,30,78.93333333333334,2.3795424396766327
_sonnet45_main.json,sonnet45,Knobe2003_side_effect,B,help,30,24.333333333333332,9.637888196533973
_sonnet45_main.json,sonnet45,Miyamoto2002_correspondence_bias,A,anti_essay,30,22.333333333333332,1.6996731711975948
_sonnet45_main.json,sonnet45,Miyamoto2002_correspondence_bias,A,pro_essay,30,72.53333333333333,0.4988876515698589
_sonnet45_main.json,sonnet45,Miyamoto2002_correspondence_bias,B,anti_essay,30,21.933333333333334,4.654269246855216
_sonnet45_main.json,sonnet45,Miyamoto2002_correspondence_bias,B,pro_essay,30,72.33333333333333,0.4714045207910317
_sonnet45_main.json,sonnet45,Rottenstreich2001_affective_lottery,A,certainty,30,15.0,0.0
_sonnet45_main.json,sonnet45,Rottenstreich2001_affective_lottery,A,low_probability,30,15.0,0.0
_sonnet45_main.json,sonnet45,Rottenstreich2001_affective_lottery,B,certainty,29,15.0,0.0
_sonnet45_main.json,sonnet45,Rottenstreich2001_affective_lottery,B,low_probability,30,15.0,0.0
_sonnet45_main.json,sonnet45,Tamir2012_selfdisclosure,A,,60,44.035,1.3315811403490714
_sonnet45_main.json,sonnet45,Tamir2012_selfdisclosure,B,,60,56.799166666666665,2.159870591545295
_sonnet45_main.json,sonnet45,Valdesolo2007_hypocrisy,A,ingroup_actor,15,35.0,0.0
_sonnet45_main.json,sonnet45,Valdesolo2007_hypocrisy,A,other_actor,15,21.666666666666668,4.714045207910316
_sonnet45_main.json,sonnet45,Valdesolo2007_hypocrisy,A,outgroup_actor,15,15.0,0.0
_sonnet45_main.json,sonnet45,Valdesolo2007_hypocrisy,A,self_actor,15,35.0,0.0
_sonnet45_main.json,sonnet45,Valdesolo2007_hypocrisy,B,ingroup_actor,15,15.0,0.0
_sonnet45_main.json,sonnet45,Valdesolo2007_hypocrisy,B,other_actor,15,15.0,0.0
_sonnet45_main.json,sonnet45,Valdesolo2007_hypocrisy,B,outgroup_actor,15,15.0,0.0
_sonnet45_main.json,sonnet45,Valdesolo2007_hypocrisy,B,self_actor,15,43.13333333333333,2.604269997949948
_sonnet45_main.json,sonnet45,Weinstein1984_comparative_optimism,A,,60,29.930833333333336,2.217207170944765
_sonnet45_main.json,sonnet45,Weinstein1984_comparative_optimism,B,,60,24.988333333333337,2.8145509805690536
_gpt_main.json,gpt-5.6-terra,Aryani2020_word_arousal,A,,60,47.93472222222222,1.402386496584472
_gpt_main.json,gpt-5.6-terra,Aryani2020_word_arousal,B,,60,50.36805555555556,1.1130841856396072
_gpt_main.json,gpt-5.6-terra,Asch1946_warm_cold,A,cold,30,50.6111111111111,3.0636928683811537
_gpt_main.json,gpt-5.6-terra,Asch1946_warm_cold,A,warm,30,46.39999999999999,2.083562950309214
_gpt_main.json,gpt-5.6-terra,Asch1946_warm_cold,B,cold,30,52.14814814814815,4.218305525790696
_gpt_main.json,gpt-5.6-terra,Asch1946_warm_cold,B,warm,30,42.961111111111094,3.7596008784752803
_gpt_main.json,gpt-5.6-terra,BlackBarnes2015_transportation,A,fiction,30,60.2,1.4207404412349733
_gpt_main.json,gpt-5.6-terra,BlackBarnes2015_transportation,A,nonfiction,30,31.66190476190477,1.9689713234484547
_gpt_main.json,gpt-5.6-terra,BlackBarnes2015_transportation,B,fiction,30,57.8952380952381,1.3232270044158791
_gpt_main.json,gpt-5.6-terra,BlackBarnes2015_transportation,B,nonfiction,30,46.952380952380956,1.779831580098168
_gpt_main.json,gpt-5.6-terra,Cao2018_bayesian_pilot,A,,60,50.0,0.0
_gpt_main.json,gpt-5.6-terra,Cao2018_bayesian_pilot,B,,60,50.208333333333336,0.6909634979907082
_gpt_main.json,gpt-5.6-terra,FathKay2018_hierarchy_corruption,A,flat,30,32.07142857142857,1.2047242606578843
_gpt_main.json,gpt-5.6-terra,FathKay2018_hierarchy_corruption,A,hierarchical,30,47.65714285714285,1.634492161452707
_gpt_main.json,gpt-5.6-terra,FathKay2018_hierarchy_corruption,B,flat,30,32.06190476190476,1.2855467262948972
_gpt_main.json,gpt-5.6-terra,FathKay2018_hierarchy_corruption,B,hierarchical,30,51.34285714285715,2.469845350304705
_gpt_main.json,gpt-5.6-terra,Hoorens2015_more_less_asymmetry,A,less,30,58.6,1.754676291766914
_gpt_main.json,gpt-5.6-terra,Hoorens2015_more_less_asymmetry,A,more,30,63.3,2.0236563900981763
_gpt_main.json,gpt-5.6-terra,Hoorens2015_more_less_asymmetry,B,less,30,55.62222222222222,1.3464172853067655
_gpt_main.json,gpt-5.6-terra,Hoorens2015_more_less_asymmetry,B,more,30,60.71111111111111,1.1196339789920546
_gpt_main.json,gpt-5.6-terra,John2016_hiding_information,A,hide,30,37.173333333333325,2.462916067501196
_gpt_main.json,gpt-5.6-terra,John2016_hiding_information,A,reveal,30,32.273333333333326,2.6510291502651486
_gpt_main.json,gpt-5.6-terra,John2016_hiding_information,B,hide,30,42.673333333333325,2.6017857115621355
_gpt_main.json,gpt-5.6-terra,John2016_hiding_information,B,reveal,30,70.23333333333333,1.7633931936909477
_gpt_main.json,gpt-5.6-terra,Klink2000_soundsymbolism,A,,60,54.560416666666676,1.534601396701847
_gpt_main.json,gpt-5.6-terra,Klink2000_soundsymbolism,B,,60,51.727777777777774,1.705442450104161
_gpt_main.json,gpt-5.6-terra,Knobe2003_side_effect,A,harm,30,90.16666666666667,2.7335365778094536
