effect,model,r_sim,r_sim_all,variant_spread,refusal_rate,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,D_pub,var_o,var_r,z_sim_r,z_bare_r,replaced
Aryani2020_word_arousal,sonnet5,0.99935,0.9992,0.0001999999999999,,0.9999,0.4179056082321443,0.7214033188451836,28.0,25.0,linguistic_intuition,P2,2.6466524123622457,2.6466524123622457,0.4451517591476822,0.9105649857560216,-0.4654132266083393,0.04,0.0454545454545454,2.6466524123622457,2.6466524123622457,True
Aryani2020_word_arousal,sonnet45,0.99985,0.9992,0.0010000000000001,,0.9997,0.4179056082321443,0.7214033188451836,28.0,25.0,linguistic_intuition,P2,2.6466524123622457,2.6466524123622457,0.4451517591476822,0.9105649857560216,-0.4654132266083393,0.04,0.0454545454545454,2.6466524123622457,2.6466524123622457,True
Bauer2012_consumer_cues,sonnet5,0.0,0.0,0.09285,,0.0,0.2561582384877227,0.0598922907279467,77.0,6608.0,social_judgment,P2,0.0,0.0,0.261992499538448,0.0599640581953339,0.2020284413431141,0.0135135135135135,0.0001514004542013,0.0,0.0,False
Bauer2012_consumer_cues,sonnet45,-0.27215,-0.12135,0.2188,,0.0,0.2561582384877227,0.0598922907279467,77.0,6608.0,social_judgment,P2,-0.2791843392325744,0.0,0.261992499538448,0.0599640581953339,0.2020284413431141,0.0135135135135135,0.0001514004542013,-0.2791843392325744,0.0,False
BlackBarnes2015_transportation,sonnet5,0.99015,0.9862,0.0014999999999999,,0.994,0.3261363455467632,0.0099995000374968,60.0,594.0,social_imagery,P2,2.6466524123622457,2.6466524123622457,0.3384985964017,0.0099998333408328,0.3284987630608671,0.0175438596491228,0.0016920473773265,1.7538377359754436,2.0720027988800296,True
BlackBarnes2015_transportation,sonnet45,0.9966,0.99115,0.04305,,0.9742,0.3261363455467632,0.0099995000374968,60.0,594.0,social_imagery,P2,2.6466524123622457,2.168772020028107,0.3384985964017,0.0099998333408328,0.3284987630608671,0.0175438596491228,0.0016920473773265,1.9145227348495786,2.4413263252096895,True
Cao2018_bayesian_pilot,sonnet5,0.99095,0.9907,0.0907,,0.7746,0.4358898943540673,0.5099019513592785,348.0,36.0,jdm_bias,P2,2.6466524123622457,1.0317268613977806,0.4671453081032619,0.5625972622359134,-0.0954519541326515,0.0028985507246376,0.0303030303030303,2.6466524123622457,0.9574010976036885,True
Cao2018_bayesian_pilot,sonnet45,0.9983,0.9751,0.0621999999999999,,0.0,0.4358898943540673,0.5099019513592785,348.0,36.0,jdm_bias,P2,2.6466524123622457,0.0,0.4671453081032619,0.5625972622359134,-0.0954519541326515,0.0028985507246376,0.0303030303030303,1.940300021666665,0.0,True
Correll2007_motherhood_penalty,sonnet5,-0.20145,-0.1396,0.36555,,-0.6325,0.3909112646207652,0.0354409589117305,94.0,198.0,social_judgment,P2,-0.2042434282799677,-0.7455722712488473,0.41287521679311,0.0354558087802284,0.3774194080128815,0.0109890109890109,0.0051282051282051,-0.2042434282799677,-0.7455722712488473,False
DeNeve1998_swb_neuroticism,sonnet5,-0.5275000000000001,-0.4928,0.01805,,0.7482,-0.22,-0.54,7869.0,1559.0,questionnaire,P2,-0.5866749720559765,0.9688534222680704,-0.2236561090218324,-0.6041556029622671,0.3804994939404347,0.0001271294177472,0.0006426735218508,-0.5866749720559765,0.9688534222680704,False
DogerliogluDemir2014_incidental_anchor,sonnet5,0.4367499999999999,0.3087,0.2003499999999999,,-0.3333,0.2606658522907645,0.0549170007571354,58.0,144.0,jdm_bias,P2,0.4682076590377485,-0.3465360907486992,0.2668226669099408,0.0549723085118351,0.2118503583981057,0.0181818181818181,0.0070921985815602,0.4682076590377485,-0.3465360907486992,False
DogerliogluDemir2014_incidental_anchor,sonnet45,-0.1415,-0.1415,0.1644499999999999,,-0.5774,0.2606658522907645,0.0549170007571354,58.0,144.0,jdm_bias,P2,-0.1424558928161599,-0.6585535478909671,0.2668226669099408,0.0549723085118351,0.2118503583981057,0.0181818181818181,0.0070921985815602,-0.1424558928161599,-0.6585535478909671,False
FathKay2018_hierarchy_corruption,sonnet5,0.9872,0.9865,0.0023499999999999,,0.9586,0.2049390153191919,0.282842712474619,405.0,321.0,social_judgment,P2,2.5225183604067927,1.9283521652277127,0.2078827064739261,0.2907692890372516,-0.0828865825633255,0.0024875621890547,0.0031446540880503,2.46550155873828,1.58167437911735,True
FathKay2018_hierarchy_corruption,sonnet45,0.9848,0.9848,0.0177999999999999,,0.8853,0.2049390153191919,0.282842712474619,405.0,321.0,social_judgment,P2,2.4359890022626804,1.399761107138606,0.2078827064739261,0.2907692890372516,-0.0828865825633255,0.0024875621890547,0.0031446540880503,1.4389977596883596,1.3124434223769785,True
Fetherstonhaugh1997_psychophysical_numbing,sonnet5,0.148,-0.04165,0.0192,,0.0,0.7414562912379874,0.4919138057920608,162.0,1606.0,jdm_bias,P2,0.149095025025098,0.0,0.953706112687206,0.5385819506774197,0.4151241620097864,0.0062893081761006,0.0006238303181534,0.149095025025098,0.0,False
Fetherstonhaugh1997_psychophysical_numbing,sonnet45,-0.1431,-0.1431,0.2502999999999999,,0.0,0.7414562912379874,0.4919138057920608,162.0,1606.0,jdm_bias,P2,-0.1440889616783298,0.0,0.953706112687206,0.5385819506774197,0.4151241620097864,0.0062893081761006,0.0006238303181534,-0.1440889616783298,0.0,False
