effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok
Oppenheimer2009_retrospective_gambler,B,sonnet45,none,0.8238880478948298,0.7165986728467575,0.9019645400845254,60
Oppenheimer2009_retrospective_gambler,B,sonnet45,demographic,0.7869818838358908,0.7099148639590752,0.8609293768951563,60
Rottenstreich2001_affective_lottery,A,sonnet5,none,1.0,1.0,1.0,60
Rottenstreich2001_affective_lottery,A,sonnet5,demographic,1.0,1.0,1.0,60
Rottenstreich2001_affective_lottery,A,sonnet45,none,0.0,0.0,0.0,60
Rottenstreich2001_affective_lottery,A,sonnet45,demographic,0.0,0.0,0.0,60
Rottenstreich2001_affective_lottery,B,sonnet5,none,0.18569533817705186,0.0,0.30151134457776363,60
Rottenstreich2001_affective_lottery,B,sonnet5,demographic,0.9045340337332909,0.7884298457197201,1.0,60
Rottenstreich2001_affective_lottery,B,sonnet45,none,0.0,0.0,0.0,60
Rottenstreich2001_affective_lottery,B,sonnet45,demographic,0.0,0.0,0.0,60
Tversky1973_availability_letters,A,sonnet5,none,-1.0,-1.0,-1.0,60
Tversky1973_availability_letters,A,sonnet5,demographic,-1.0,-1.0,-1.0,60
Tversky1973_availability_letters,A,sonnet45,none,1.0,1.0,1.0,60
Tversky1973_availability_letters,A,sonnet45,demographic,1.0,1.0,1.0,60
Tversky1973_availability_letters,B,sonnet5,none,-0.3666666666666679,-0.6000000000000001,-0.13333333333333366,60
Tversky1973_availability_letters,B,sonnet5,demographic,0.5333333333333343,0.3000000000000003,0.7333333333333342,60
Tversky1973_availability_letters,B,sonnet45,none,-1.0,-1.0,-1.0,49
Tversky1973_availability_letters,B,sonnet45,demographic,-1.0,-1.0,-1.0,60
