effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,n_total
Cooney2016_fairness,frame_flip,sonnet45,none,0.0,0.0,0.0,60,60
Cooney2016_fairness,frame_flip,sonnet45,demographic,0.5826437304097982,0.38173590649612044,0.752674324251294,59,60
Cooney2016_fairness,deidentified,sonnet5,none,0.0,0.0,0.0,60,60
Cooney2016_fairness,deidentified,sonnet5,demographic,0.893233657678344,0.89135882109575,0.9103474528432268,60,60
Cooney2016_fairness,deidentified,sonnet45,none,0.6745338176702799,0.5451771778033793,0.8118441408859887,60,60
Cooney2016_fairness,deidentified,sonnet45,demographic,0.6223135508231353,0.49365724849494164,0.7554216678407443,60,60
Klink2000_soundsymbolism,A,sonnet5,none,0.9887417300876429,0.9845388616943139,0.9926041819773931,60,60
Klink2000_soundsymbolism,A,sonnet5,demographic,0.9869978777537586,0.9790761336765497,0.9930576629846721,60,60
Klink2000_soundsymbolism,A,sonnet45,none,0.9931338277858426,0.9915371485735361,0.9943767126843688,60,60
Klink2000_soundsymbolism,A,sonnet45,demographic,0.9996701892967781,0.9990321181604171,1.0,60,60
Klink2000_soundsymbolism,B,sonnet5,none,0.9959927363226606,0.9958595418255906,0.9966158955401239,60,60
Klink2000_soundsymbolism,B,sonnet5,demographic,1.0,1.0,1.0,60,60
Klink2000_soundsymbolism,B,sonnet45,none,0.9943960626489652,0.9892195690438662,0.9985112911830357,51,60
Klink2000_soundsymbolism,B,sonnet45,demographic,0.9858110380432578,0.968962790249909,0.9980426501023762,60,60
Klink2000_soundsymbolism,frame_flip,sonnet5,none,0.9979629956401103,0.9953568797377756,1.0,60,60
Klink2000_soundsymbolism,frame_flip,sonnet5,demographic,0.9815398247414336,0.974107715390938,0.9892423203260793,60,60
Klink2000_soundsymbolism,frame_flip,sonnet45,none,,,,0,60
Klink2000_soundsymbolism,frame_flip,sonnet45,demographic,0.9997026120508526,0.9991356869170336,1.0,46,60
Klink2000_soundsymbolism,deidentified,sonnet5,none,-0.9298920164319697,-0.9814678214041649,-0.8358550603528407,60,60
Klink2000_soundsymbolism,deidentified,sonnet5,demographic,-0.9622666792429522,-0.9789703450605317,-0.9437149391225726,60,60
Klink2000_soundsymbolism,deidentified,sonnet45,none,0.9927945535915402,0.9875414397573882,0.9979911795992102,60,60
Klink2000_soundsymbolism,deidentified,sonnet45,demographic,0.9811514805819238,0.9598355438741948,0.9958603776322722,60,60
Slepian2012_secrets,A,sonnet5,none,0.4561193977010332,0.1671017182821081,0.7688392843489685,40,40
Slepian2012_secrets,A,sonnet5,demographic,0.5086275298040086,0.253968607779977,0.7445687558910192,40,40
Slepian2012_secrets,A,sonnet45,none,0.4989838993790249,0.1708648926525632,0.8538850267021815,40,40
