effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_refusal,group,stat,n_parsed,n_denom,parse_mode,flag
Aryani2020_word_arousal,A,0.999903,0.999782,1.0,30,1.0,0,0,paired_zero,30,30,2,
Aryani2020_word_arousal,B,0.999308,0.99905,0.999587,30,1.0,0,0,paired_zero,30,30,2,
Bauer2012_consumer_cues,A,0.333333,0.0,0.5,30,1.0,0,0,between,30,30,2,
Bauer2012_consumer_cues,B,1.0,1.0,1.0,30,1.0,0,0,between,30,30,2,zero_var
BlackBarnes2015_transportation,A,0.948377,0.917799,0.986864,30,1.0,0,0,between,30,30,2,
BlackBarnes2015_transportation,B,0.982467,0.958454,0.997585,30,1.0,0,0,between,30,30,2,
Cao2018_bayesian_pilot,A,1.0,1.0,1.0,30,1.0,0,0,paired_zero,30,30,2,zero_var
Cao2018_bayesian_pilot,B,0.999746,0.99928,1.0,30,1.0,0,0,paired_zero,30,30,2,
Correll2007_motherhood_penalty,A,0.0,0.0,0.0,29,1.0,1,0,between,29,29,2,zero_var
Correll2007_motherhood_penalty,B,,,,15,1.0,15,0,between,15,15,2,insufficient_n
DeNeve1998_swb_neuroticism,A,-0.821298,-0.979225,-0.61791,30,1.0,0,0,pearson,30,30,2,
DeNeve1998_swb_neuroticism,B,-1.0,-1.0,-1.0,30,1.0,0,0,pearson,30,30,2,
DogerliogluDemir2014_incidental_anchor,A,0.333333,0.0,0.5,30,1.0,0,0,between,30,30,2,
DogerliogluDemir2014_incidental_anchor,B,-0.26029,-0.496564,0.111111,30,1.0,0,0,between,30,30,2,
FathKay2018_hierarchy_corruption,A,1.0,1.0,1.0,30,1.0,0,0,between,30,30,2,
FathKay2018_hierarchy_corruption,B,1.0,1.0,1.0,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,A,-0.656205,-0.816497,-0.5,30,1.0,0,0,between,30,30,2,
Fetherstonhaugh1997_psychophysical_numbing,B,0.185695,0.0,0.333333,30,1.0,0,0,between,30,30,2,
Finucane2000_affect_heuristic,A,-0.641277,-0.650148,-0.632231,30,1.0,0,1,corr_within,30,30,strict,
Finucane2000_affect_heuristic,B,-0.750066,-0.76277,-0.738886,30,1.0,0,1,corr_within,30,30,strict,
Glikson2017_smiley_competence,A,0.899908,0.827616,0.964955,30,1.0,0,1,two_group,30,30,strict,
Glikson2017_smiley_competence,B,,,,15,1.0,15,1,two_group,15,15,strict,insufficient_n
Hoorens2015_more_less_asymmetry,A,0.945175,0.901752,0.995643,30,1.0,0,1,two_group,30,30,strict,
Hoorens2015_more_less_asymmetry,B,0.994435,0.991021,1.0,30,1.0,0,1,two_group,30,30,strict,
Huang2019_anthropomorphism_holistic,A,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
Huang2019_anthropomorphism_holistic,B,0.0,0.0,0.0,30,1.0,0,1,phi,30,30,strict,
John2016_hiding_information,A,-0.9684,-1.0,-0.928477,30,1.0,0,1,two_group,30,30,strict,
John2016_hiding_information,B,0.990921,0.974697,1.0,30,1.0,0,1,two_group,30,30,strict,
KimMarkus1999_uniqueness_preference,A,0.0,0.0,0.0,30,1.0,0,1,two_group,30,30,strict,
KimMarkus1999_uniqueness_preference,B,0.0,0.0,0.0,30,1.0,0,1,two_group,30,30,strict,
McCullough2002_gratitude_agreeableness,A,0.0,0.0,0.0,29,1.0,1,2,pearson,29,29,strict,no_variance
McCullough2002_gratitude_agreeableness,B,0.913946,0.888756,0.980795,30,1.0,0,2,pearson,30,30,strict,
Mellers2001_conjunction_frequency,A,0.958845,0.927507,0.986532,15,0.8966,1,2,one_sample,26,29,strict,
Mellers2001_conjunction_frequency,B,0.979073,0.97028,0.992047,15,1.0,0,2,one_sample,30,30,strict,
Park2019_scarcity_price_quality,A,-0.654654,-0.874475,-0.447214,30,1.0,0,2,two_group,30,30,strict,
Park2019_scarcity_price_quality,B,-0.447214,-0.654654,-0.267261,30,1.0,0,2,two_group,30,30,strict,
Paunonen2003_attractiveness_extraversion,A,0.694808,0.0,1.0,30,1.0,0,2,pearson,30,30,strict,
Paunonen2003_attractiveness_extraversion,B,0.978592,0.948986,0.994045,30,1.0,0,2,pearson,30,30,strict,
Peters2006_numeracy_framing,A,0.782131,-0.106686,1.0,30,1.0,0,2,peters,30,30,strict,obj_const
Peters2006_numeracy_framing,B,,,,30,1.0,0,2,peters,30,30,strict,rank_deficient
Reinhard2013_unconscious_lie_detection,A,0.0,0.0,0.0,30,1.0,0,2,two_group,30,30,strict,zero_var
Reinhard2013_unconscious_lie_detection,B,,,,30,1.0,0,2,two_group,30,30,strict,zero_var
Stevenson2000_web_brand_attitude,A,0.983618,0.97416,0.991604,30,1.0,0,2,pearson,30,30,strict,
Stevenson2000_web_brand_attitude,B,1.0,1.0,1.0,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,A,0.0,0.0,0.0,30,1.0,0,2,pearson,30,30,strict,no_variance
Thoresen2003_commitment_negative_affect,B,-0.798359,-0.900728,-0.606416,29,0.9667,0,2,pearson,29,30,strict,
Weinstein1984_comparative_optimism,A,-0.978791,-0.993886,-0.963536,30,1.0,0,2,one_sample,30,30,strict,
Weinstein1984_comparative_optimism,B,-0.671712,-0.801933,-0.505664,30,1.0,0,2,one_sample,30,30,strict,
