effect,r_sim,r_bare,r_o,r_r,n_o,n_r,z_sim,z_bare,z_o,z_r,var_o,var_r,z_sim_r,z_bare_r,replaced
Aryani2020_word_arousal,0.992557,0.99932,0.4179056082321443,0.7214033188451836,28.0,25.0,2.6466524123622457,2.6466524123622457,0.4451517591476822,0.9105649857560216,0.04,0.0454545454545454,2.6466524123622457,2.6466524123622457,True
Asch1946_warm_cold,1.0,1.0,0.6508,0.1966,166.0,183.0,2.6466524123622457,2.6466524123622457,0.7766852369564898,0.1991933795153748,0.0061349693251533,0.0055555555555555,0.09917486295010022,1.198674363426081,True
Bargh2012_warmth,0.1767114024408889,0.2237110076872099,0.57,0.02,51.0,311.0,0.1785860375394174,0.2275592333677096,0.6475228448273728,0.0200026673068495,0.0208333333333333,0.0032467532467532,0.1785860375394174,0.2275592333677096,False
Bauer2012_consumer_cues,0.0928475,0.298142,0.2561582384877227,0.0598922907279467,77.0,6608.0,0.0931156907503711,0.3074790929967794,0.261992499538448,0.0599640581953339,0.0135135135135135,0.0001514004542013,0.0931156907503711,0.3074790929967794,False
BlackBarnes2015_transportation,0.967535,0.994226,0.3261363455467632,0.0099995000374968,60.0,594.0,2.052187091622656,2.6466524123622457,0.3384985964017,0.0099998333408328,0.0175438596491228,0.0016920473773265,1.5662882001071772,2.143583850309104,True
Cao2018_bayesian_pilot,0.6607095000000001,0.0,0.4358898943540673,0.5099019513592785,348.0,36.0,0.7940717635492769,0.0,0.4671453081032619,0.5625972622359134,0.0028985507246376,0.0303030303030303,0.6765672859379398,0.6583566716657381,True
Chao2017_thankyou_gift,0.0,0.0,0.1015,0.0519,519.0,2441.0,0.0,0.0,0.101850730009392,0.0519466749106575,0.001937984496124,0.0004101722723543,0.0,0.0,False
Cooney2016_fairness,0.722852884514564,0.6579432682703692,0.5657,0.1211,120.0,132.0,0.9135941907551792,0.7891782562938883,0.6411763738883505,0.1216972497944741,0.0085470085470085,0.0077519379844961,0.9135941907551792,0.7891782562938883,False
Correll2007_motherhood_penalty,-0.1589995,-0.372104,0.3909112646207652,0.0354409589117305,94.0,198.0,-0.1603600787150907,-0.3908630297518374,0.41287521679311,0.0354558087802284,0.0109890109890109,0.0051282051282051,-0.1603600787150907,-0.3908630297518374,False
DeNeve1998_swb_neuroticism,-0.2466124999999999,0.311741,-0.22,-0.54,7869.0,1559.0,-0.251802723965223,0.3224726604494697,-0.2236561090218324,-0.6041556029622671,0.0001271294177472,0.0006426735218508,-0.251802723965223,0.3224726604494697,False
DogerliogluDemir2014_incidental_anchor,0.069378,-0.722402,0.2606658522907645,0.0549170007571354,58.0,144.0,0.0694896351132224,-0.9126505416120968,0.2668226669099408,0.0549723085118351,0.0181818181818181,0.0070921985815602,0.0694896351132224,-0.9126505416120968,False
Eyal2008_moral_distance,0.0630868558492419,4.1669550621429814e-16,0.38,0.0316,58.0,116.0,0.0631707504848464,4.1669550621429814e-16,0.4000596500560566,0.0316105244716431,0.0181818181818181,0.0088495575221238,0.0631707504848464,4.1669550621429814e-16,False
FathKay2018_hierarchy_corruption,0.8654715,0.898965,0.2049390153191919,0.282842712474619,405.0,321.0,1.3147465213165417,1.4667986442119751,0.2078827064739261,0.2907692890372516,0.0024875621890547,0.0031446540880503,1.3425946419068302,1.4359965475472491,True
Fetherstonhaugh1997_psychophysical_numbing,0.025013,-0.18368,0.7414562912379874,0.4919138057920608,162.0,1606.0,0.025018218421643,-0.1857885368453213,0.953706112687206,0.5385819506774197,0.0062893081761006,0.0006238303181534,0.025018218421643,-0.1857885368453213,False
Finucane2000_affect_heuristic,-0.8112145,-0.818633,-0.75,-0.87,219.0,776.0,-1.1305707219021304,-1.1526588981170565,-0.9729550745276566,-1.3330796296965248,0.0046296296296296,0.001293661060802,-1.1305707219021304,-1.1526588981170565,False
Genschow2017_free_will_attribution,-0.075216863004826,0.0543612426241438,0.0946,0.0688,504.0,2822.0,-0.0753591948551453,0.0544148862170653,0.0948837218539798,0.0689088629026039,0.0019960079840319,0.0003547357218871,-0.0753591948551453,0.0544148862170653,False
Glikson2017_smiley_competence,0.5778114999999999,-0.104701,0.3387194682727416,0.1093404791528976,85.0,823.0,0.6591710712483059,-0.1050861242027559,0.3526453302526998,0.1097793659205434,0.0121951219512195,0.0012195121951219,0.6591710712483059,-0.1050861242027559,False
