effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,n_refusal,group,stat,n_parsed,n_denom,parse_mode,flag
McCullough2002_gratitude_agreeableness,A,0.28957,-0.074678,0.600311,30,1.0,0,2,pearson,30,30,strict,
McCullough2002_gratitude_agreeableness,B,0.0,0.0,0.0,30,1.0,0,2,pearson,30,30,strict,no_variance
Mellers2001_conjunction_frequency,A,0.609032,0.351991,0.80888,15,1.0,0,2,one_sample,30,30,strict,
Mellers2001_conjunction_frequency,B,0.7763,0.703027,0.944664,15,1.0,0,2,one_sample,30,30,strict,
Park2019_scarcity_price_quality,A,-0.333333,-0.5,0.0,30,1.0,0,2,two_group,30,30,strict,
Park2019_scarcity_price_quality,B,0.272166,-0.069261,0.622543,30,1.0,0,2,two_group,30,30,strict,
Paunonen2003_attractiveness_extraversion,A,0.542475,0.303509,0.71928,30,1.0,0,2,pearson,30,30,strict,
Paunonen2003_attractiveness_extraversion,B,0.126713,-0.214643,0.410505,30,1.0,0,2,pearson,30,30,strict,
Peters2006_numeracy_framing,A,0.046341,-0.297505,0.294672,30,1.0,0,2,peters,30,30,strict,obj_const
Peters2006_numeracy_framing,B,-0.083287,-0.353804,0.177317,30,1.0,0,2,peters,30,30,strict,obj_const
Reinhard2013_unconscious_lie_detection,A,0.0,0.0,0.0,30,1.0,0,2,two_group,30,30,strict,zero_var
Reinhard2013_unconscious_lie_detection,B,0.172774,-0.227136,0.458349,30,1.0,0,2,two_group,30,30,strict,
Scopelliti2015_bragging_emotion,A,0.185695,0.0,0.333333,30,1.0,0,2,two_group,30,30,strict,
Scopelliti2015_bragging_emotion,B,0.656975,0.44441,0.824535,30,1.0,0,2,two_group,30,30,strict,
Shnabel2008_needs_reconciliation,A,-0.177003,-0.524325,0.211497,30,1.0,0,2,inter2x2,30,30,strict,
Shnabel2008_needs_reconciliation,B,-0.049439,-0.481822,0.352991,30,1.0,0,2,inter2x2,30,30,strict,
Stevenson2000_web_brand_attitude,A,1.0,1.0,1.0,30,1.0,0,2,pearson,30,30,strict,
Stevenson2000_web_brand_attitude,B,1.0,1.0,1.0,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,A,0.283221,-0.595161,0.794151,30,1.0,0,2,pearson,30,30,strict,
Thoresen2003_commitment_negative_affect,B,-0.013106,-0.366567,0.364601,30,1.0,0,2,pearson,30,30,strict,
Weinstein1984_comparative_optimism,A,-0.975799,-0.989648,-0.959018,30,1.0,0,2,one_sample,30,30,strict,
Weinstein1984_comparative_optimism,B,-0.99132,-0.996345,-0.985352,30,1.0,0,2,one_sample,30,30,strict,
WilliamsBargh2008_distance_priming,A,0.0,0.0,0.0,30,1.0,0,2,two_group,30,30,strict,zero_var
WilliamsBargh2008_distance_priming,B,0.63019,0.471188,0.785668,30,1.0,0,2,two_group,30,30,strict,
Zarkadi2013_visual_contrast,A,-0.262613,-0.471405,0.0,30,1.0,0,2,anova,30,30,strict,
Zarkadi2013_visual_contrast,B,0.0,0.0,0.0,30,1.0,0,2,anova,30,30,strict,zero_var
